"","ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGCC","TGSC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
"46",2015,"MUNICIPIO",130320,316,0,274,14,100,96,62,32,10,2,0,0,302,18,22,26.25,22.6424050632911,5.99962744138358,10,38,118,128,8,11,4,2,0,280,26,180,136,97,219,3,313,1,1,3,281,0,0,286,0,30,38,39,40,38.7156862745098,2.48158113655774,14,137,32,22,79,185,131,234,82,310,5,0,75,5,123,3,58,2,2,3,0,35,292,0,21,3,0,153,163,4,2,0,280,26,19,264,25,2997.5,3300,3600,3290.8538961039,577.271732246799,19,222,52,3,288,9.61855670103093,0.997686623825394,3,311
"47",2015,"MUNICIPIO",130330,409,0,359,9,137,132,76,33,16,6,0,0,400,18,22,26,22.7726161369193,5.99792719521108,5,93,143,152,6,9,2,3,1,403,0,286,123,143,266,5,404,1,1,5,350,0,0,357,0,52,37,39,40,38.5663265306122,2.68093368007144,2,121,51,47,163,385,24,329,80,399,6,1,100,2,174,0,42,3,3,5,1,61,377,0,32,0,0,213,196,2,3,1,403,0,31,350,28,2945,3260,3570,3251.59657701712,547.444397828441,31,283,59,5,372,8.84350132625995,0.591982286271198,2,407
"48",2015,"MUNICIPIO",130340,1995,0,1889,32,557,580,407,261,111,42,5,0,1963,19,23,28,24.0135338345865,6.58409966498293,3,118,519,1140,87,128,3,3,0,1929,59,1611,384,740,1255,37,1958,4,0,16,1801,0,0,1821,0,174,37,39,40,38.5333667837431,2.48226956699984,57,657,473,199,518,1979,16,1442,553,1944,46,3,584,5,790,2,231,12,25,35,3,303,1893,1,98,3,0,1043,952,3,3,0,1929,59,179,1713,103,2883,3190,3497,3169.30526315789,546.43874721761,186,1525,243,17,1879,9.03639240506329,0.717842312246216,15,1978
"49",2015,"MUNICIPIO",130350,374,0,359,10,116,111,77,44,13,2,1,0,364,18,22,27,23.0160427807487,6.1189951126401,34,145,115,75,0,5,35,4,0,221,110,278,96,6,368,9,365,0,0,1,359,0,0,360,0,14,39,39,39,38.8652291105121,1.22723756541311,4,103,13,49,196,350,24,226,148,362,3,0,3,0,208,8,124,0,3,9,0,12,357,1,16,0,0,200,174,35,4,0,221,110,29,320,25,2900,3200,3525.5,3190.86096256685,530.49314598381,47,270,40,1,371,9.92741935483871,0.425090199975189,0,367
"50",2015,"MUNICIPIO",130353,558,0,242,12,141,154,125,77,35,12,2,0,546,19,23,29,24.4749103942652,6.71758440938131,0,11,95,136,11,12,11,0,0,253,0,253,305,172,386,10,548,1,1,11,506,0,0,519,0,39,39,41,41,39.6971962616822,2.54728532683631,0,56,21,47,138,290,268,323,234,262,3,0,81,5,71,4,49,0,2,9,0,36,548,0,7,3,0,285,273,51,5,0,495,3,44,474,40,2982.5,3300,3615.75,3244.07168458781,628.896241984666,59,415,48,3,550,9.64918625678119,0.803008534318032,2,554
"51",2015,"MUNICIPIO",130356,391,0,335,11,101,110,75,62,24,7,1,0,380,19,23,29,24.3427109974425,6.75393080728524,3,34,142,189,8,13,18,1,0,348,3,113,278,113,278,7,384,0,0,4,348,0,0,352,0,39,38,39,40,38.6962365591398,2.26818778439761,4,120,50,44,164,112,279,256,134,378,10,0,85,7,146,9,55,5,3,6,0,55,387,0,4,0,0,208,183,18,1,0,348,3,35,331,25,2861.5,3180,3511,3184.49616368286,563.082700452915,30,288,44,1,390,9.74424552429667,0.56935535393147,3,385
"52",2015,"MUNICIPIO",130360,301,0,142,8,77,82,55,51,25,2,1,0,293,19,23,30,24.5946843853821,6.86599142999189,43,32,59,107,2,3,0,0,0,19,281,152,149,80,221,3,298,0,0,2,274,0,0,276,0,25,38,40,40,39.0740740740741,2.0387880362256,2,148,52,25,56,276,25,279,21,295,3,2,70,2,179,1,14,1,1,1,2,26,144,1,83,4,69,147,154,0,0,0,19,281,14,284,3,2900,3100,3400,3118.15282392027,414.923900533177,41,223,22,7,140,8.25170068027211,1.31817400380777,0,298
"53",2015,"MUNICIPIO",130370,718,0,577,15,219,202,121,97,48,10,1,3,698,18,23,28,23.9022346368715,6.91639952663244,29,144,292,236,5,12,2,0,1,406,307,603,115,194,524,12,706,2,3,3,654,0,0,662,0,56,39,40,40,39.3262411347518,2.16012564706075,4,171,52,44,418,712,6,640,76,707,8,2,171,6,452,4,26,3,3,9,2,28,582,3,116,1,16,351,367,2,0,1,406,307,57,637,24,2892.5,3150,3450,3142.94568245125,508.719352092416,93,551,45,6,581,9.13798977853492,0.796561325503463,10,707
"54",2015,"MUNICIPIO",130380,1120,0,610,8,252,303,230,183,115,26,3,0,1112,20,24,31,25.5375,6.94485009241214,32,192,427,414,17,24,7,0,0,25,1080,528,592,318,802,12,1108,1,4,19,1032,0,0,1056,0,64,37,39,40,38.3279714030384,2.64687254192689,21,632,150,72,156,1101,19,974,142,1095,18,5,241,4,582,1,69,2,16,8,5,187,562,2,232,319,5,564,556,7,0,0,25,1080,82,729,44,2862.5,3130,3452.5,3125.26081871345,557.206331258159,88,632,106,19,631,9.41076923076923,1.25077764124345,5,1114
"55",2015,"MUNICIPIO",130390,753,0,448,17,193,220,136,105,61,15,4,2,734,19,23,29,24.7038512616202,6.98183041134208,30,126,291,287,2,10,1,1,0,409,337,490,263,173,580,10,743,0,10,7,685,0,0,702,0,51,37,39,40,38.1476063829787,2.87618804064088,4,315,79,50,283,722,31,591,158,684,2,0,114,2,390,3,32,0,1,9,0,134,527,0,112,5,109,358,395,1,1,0,409,337,61,664,28,2860,3125,3460,3123.64541832669,520.441315297388,64,566,98,8,524,9.42481203007519,1.09095966773105,3,748
"56",2015,"MUNICIPIO",130395,180,0,163,2,67,60,32,12,5,2,0,0,178,18,21,26,22.2444444444444,5.74370894344969,2,10,59,92,10,6,0,0,0,179,0,127,53,67,113,5,175,0,1,0,161,0,0,162,0,18,38,39,40,38.7209302325581,2.08952364694143,1,73,4,11,82,120,60,128,48,166,6,0,49,4,66,4,20,1,4,2,0,14,174,4,1,1,0,87,93,0,0,0,179,0,7,161,12,3000,3250,3555,3256.90555555556,485.638250741731,8,137,20,1,179,9.31666666666667,0.712811727358086,0,180
"57",2015,"MUNICIPIO",130400,202,0,193,3,51,70,41,22,12,3,0,0,199,19,23,27.75,23.9059405940594,6.26417313228803,1,14,61,117,5,3,5,0,0,197,0,157,45,50,152,0,202,0,0,0,181,0,0,181,0,21,38,39,40,38.9108910891089,2.01041571355609,4,81,24,16,76,160,42,164,38,199,2,1,35,8,101,16,20,0,2,0,1,19,190,0,11,1,0,99,103,5,0,0,197,0,10,179,13,3000,3235,3595,3246.39108910891,468.727663369427,23,153,24,0,193,9.89119170984456,0.32846728898159,1,201
"58",2015,"MUNICIPIO",130406,1615,0,869,27,380,465,313,256,119,47,6,0,1586,19,24,30,24.9820210787353,6.94950230340735,37,279,586,578,50,59,79,8,0,751,558,544,1071,437,1178,24,1591,2,9,36,1463,0,0,1510,0,105,38,39,40,38.3431989924433,2.81502366846406,6,751,185,137,362,1601,14,1225,385,1574,20,1,301,34,777,39,122,2,17,17,1,262,1239,0,58,3,315,811,804,79,8,0,751,558,104,1431,79,2950,3200,3500,3207.03035935564,512.224114431445,93,1207,233,12,1191,9.69326683291771,0.718090148949858,3,1589
"59",2015,"MUNICIPIO",130410,439,0,402,12,130,134,88,46,15,1,0,0,414,18,22,27,22.8403755868545,5.775230179249,37,111,124,139,4,8,23,11,0,327,74,165,274,141,298,3,436,0,3,7,383,0,0,393,0,46,38,39,40,38.6378132118451,2.74960034484191,9,167,38,29,171,423,16,296,143,431,8,0,111,6,173,5,65,0,6,3,0,70,388,4,17,13,17,197,241,23,11,0,327,74,23,378,37,3000,3317.5,3600,3273.23515981735,544.478977071318,35,311,69,2,418,9.94047619047619,0.564485751910142,0,432
"60",2015,"MUNICIPIO",130420,1754,0,1582,40,532,521,353,202,75,29,1,1,1713,18,22,27,23.3420752565564,6.34161343432478,21,195,690,726,54,56,9,10,2,1561,148,1173,581,562,1192,22,1732,0,9,21,1575,0,0,1605,0,149,37,39,40,38.4460093896714,2.45966079323199,12,841,207,132,456,1737,17,1312,442,1722,30,1,395,53,715,65,178,11,17,20,1,247,1656,57,38,2,1,898,856,9,10,2,1561,148,133,1505,105,2910,3215,3540,3209.71715433161,524.983471150383,112,1309,226,15,1685,9.73588235294118,0.880904337773169,12,1740
"61",2015,"MUNICIPIO",130423,391,0,352,7,113,103,72,57,31,6,2,0,384,19,23,29,24.4219948849105,7.06841491025842,5,78,139,146,9,13,2,0,1,244,140,91,300,123,268,8,383,0,2,6,348,0,0,356,0,35,37,39,40,38.3315789473684,2.63436847014516,0,143,43,36,144,360,31,312,79,389,0,1,88,2,183,3,24,0,0,8,1,71,357,0,33,0,1,208,183,2,0,1,245,140,38,336,13,2835,3170,3430,3124.25064599483,514.398740236439,30,298,32,2,371,9.06970509383378,0.573115583400372,1,388
"62",2015,"MUNICIPIO",130426,295,0,278,8,102,104,48,21,9,2,1,0,287,18,21,25,22.1898305084746,5.62591473787522,3,58,120,103,4,3,16,3,3,234,38,217,78,95,200,4,291,0,1,5,260,0,0,266,0,29,38,39,40,38.7576791808874,2.50191380298054,0,99,30,36,112,247,48,230,65,288,5,0,67,18,114,19,35,1,3,4,0,30,283,0,9,3,0,158,137,16,3,3,234,38,27,251,16,2932.5,3200,3520,3203.42176870748,507.033538552766,25,215,36,4,278,8.84397163120567,0.945366583839324,0,294
"63",2015,"MUNICIPIO",130430,272,0,263,4,70,86,68,24,13,6,1,0,268,19,23,27,23.8345588235294,6.38423888006298,0,11,91,158,8,4,3,0,0,266,2,216,56,76,196,2,270,0,0,4,245,0,0,249,0,23,38,39,40,38.8265682656827,2.5054375743253,4,127,10,10,113,259,13,191,81,209,23,1,49,0,111,3,16,6,17,2,1,30,266,0,5,1,0,137,135,3,0,0,266,2,10,232,30,3050,3350,3700,3362.48161764706,511.362769058974,9,200,52,12,256,9.05223880597015,1.27680056707243,1,270
"64",2015,"MUNICIPIO",130440,282,0,229,5,81,82,57,39,11,7,0,0,277,19,23,28,23.7872340425532,6.43036447956467,0,37,120,117,3,4,1,0,0,280,1,161,121,62,220,0,282,0,2,2,254,0,0,258,0,24,38,39,40,38.6028368794326,2.59311827460846,9,98,46,30,96,190,92,248,33,277,3,0,52,1,165,1,18,1,2,0,0,40,224,1,56,1,0,143,139,1,0,0,280,1,16,254,12,2985,3200,3508.75,3229.47517730496,513.005054764942,16,217,40,1,231,9.70258620689655,0.817763945967342,0,282
